
Team Schedule: T-ball East NL Angels
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,End Time,Venue Name,Venue Abbreviation
"Rangers","tbenlrangers","Dodgers","tbealdodgers","4/2/2019","6:00 PM","7:30 PM","Field 5","f5"
"Yankees","tbealyankees","Rangers","tbenlrangers","4/4/2019","6:00 PM","7:15 PM","T-Ball","tb"
"Rangers","tbenlrangers","Brewers","tbenlbrewers","4/11/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Red Sox","tbwredsox","Rangers","tbenlrangers","4/13/2019","10:00 AM","12:00 PM","Field 5","f5"
"Nationals","tbwnationals","Rangers","tbenlrangers","4/18/2019","7:30 PM","8:45 PM","T-Ball","tb"
"Rangers","tbenlrangers","Giants","tbwgiants","4/20/2019","2:30 PM","4:00 PM","T-Ball","tb"
"Rangers","tbenlrangers","Cubs","tbealcubs","4/24/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Astros","tbwastros","Rangers","tbenlrangers","5/1/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Rangers","tbenlrangers","Angels","tbenlangels","5/8/2019","7:30 PM","9:00 PM","T-Ball","tb"

Team Schedule: T-ball East NL Royals
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,End Time,Venue Name,Venue Abbreviation
"Royals","tbenlroyals","Brewers","tbenlbrewers","3/19/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Rangers","tbenlrangers","Royals","tbenlroyals","3/22/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Royals","tbenlroyals","Astros","tbwastros","3/25/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Royals","tbenlroyals","3/28/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Royals","tbenlroyals","Nationals","tbwnationals","3/30/2019","10:00 AM","11:30 AM","Field 5","f5"
"Cubs","tbealcubs","Royals","tbenlroyals","4/2/2019","7:30 PM","9:30 PM","T-Ball","tb"
"Royals","tbenlroyals","Giants","tbwgiants","4/10/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Royals","tbenlroyals","Orioles","tbealorioles","4/12/2019","6:00 PM","7:45 PM","Field 5","f5"
"Angels","tbenlangels","Royals","tbenlroyals","4/18/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Royals","tbenlroyals","Mets","tbenlmets","4/20/2019","1:00 PM","2:30 PM","T-Ball","tb"
"Royals","tbenlroyals","Red Sox","tbwredsox","4/23/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Royals","tbenlroyals","4/25/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Braves","tbealbraves","Royals","tbenlroyals","4/29/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Yankees","tbealyankees","Royals","tbenlroyals","5/3/2019","6:00 PM","7:30 PM","Field 5","f5"
"Royals","tbenlroyals","Dodgers","tbealdodgers","5/4/2019","1:00 PM","2:30 PM","T-Ball","tb"
